actual,proposed
0.30000463128089905,0.20000000298023224
0.3015044629573822,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30600404739379883,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15238399803638458,0.19885006546974182
0.15276455879211426,0.19766202569007874
0.15529286861419678,0.1964825689792633
0.15776026248931885,0.19535335898399353
0.1601690798997879,0.19416356086730957
0.15519747138023376,0.1930220127105713
0.1531791090965271,0.19177469611167908
0.1467219442129135,0.19059184193611145
0.13588865101337433,0.18976865708827972
0.12945690751075745,0.1880299150943756
0.11864502727985382,0.1866571456193924
0.10351292043924332,0.18520741164684296
0.0841178223490715,0.18366822600364685
0.06923216581344604,0.1820639967918396
0.05006934329867363,0.180536687374115
0.026684356853365898,0.17862758040428162
0.003488851711153984,0.17658786475658417
0.0,0.1745036095380783
0.0,0.172455295920372
0.0,0.1698174625635147
0.0,0.16751746833324432
0.0,0.16462433338165283
0.0,0.1616775542497635
0.0,0.15857993066310883
0.0,0.1553998440504074
0.0,0.15205836296081543
0.0,0.14862538874149323
0.0,0.14505834877490997
0.0,0.14143194258213043
0.0,0.1339322179555893
0.0,0.13008703291416168
0.0,0.12614020705223083
0.0,0.12215446680784225
0.0,0.11815253645181656
0.0,0.11409813165664673
0.0,0.1100199744105339
0.0,0.10596133768558502
0.0,0.10188420861959457
0.0,0.09797468781471252
0.0,0.09403832256793976
0.0,0.09003948420286179
0.0,0.08608629554510117
0.0,0.08217671513557434
0.0,0.0782783254981041
0.0,0.07452671229839325
0.0,0.07088441401720047
0.0,0.06739120930433273
0.0,0.06401082128286362
0.0,0.06074270233511925
0.0,0.05758121982216835
0.0,0.05455448478460312
0.0,0.05162593722343445
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12797175347805023
0.0,0.126822829246521
0.00997406430542469,0.12588411569595337
0.022319070994853973,0.12520931661128998
0.043141577392816544,0.1243370920419693
0.05925390496850014,0.12387009710073471
0.075090691447258,0.12352685630321503
0.09938178211450577,0.12329668551683426
0.11894083023071289,0.12326791882514954
0.1294858455657959,0.12341734766960144
0.1629919409751892,0.1237793043255806
0.17725719511508942,0.12415126711130142
0.19132819771766663,0.12466127425432205
0.20085477828979492,0.1251908540725708
0.20590564608573914,0.12575066089630127
0.2109055519104004,0.12635739147663116
0.22021591663360596,0.12703634798526764
0.2207016497850418,0.12771306931972504
0.22556547820568085,0.12840943038463593
0.2260282337665558,0.12910494208335876
0.22215233743190765,0.1297561079263687
0.21835651993751526,0.1303814947605133
0.20591920614242554,0.1308765858411789
0.20239366590976715,0.13137204945087433
0.1858556866645813,0.13171173632144928
0.17391927540302277,0.1319631040096283
0.1577950268983841,0.13210386037826538
0.13753558695316315,0.1320958435535431
0.11754992604255676,0.13191823661327362
0.09782540798187256,0.13161113858222961
0.07399089634418488,0.13113795220851898
0.04609508067369461,0.13048197329044342
0.018543172627687454,0.12960197031497955
3.7017241993453354e-05,0.12862089276313782
0.0,0.1273016333580017
0.0,0.12573379278182983
0.0,0.12391065806150436
0.0,0.12186931073665619
0.0,0.11974021792411804
0.0,0.1176966205239296
0.0,0.11505850404500961
0.0,0.11250869184732437
0.0,0.10946132987737656
0.0,0.10039486736059189
0.0,0.0969037190079689
0.0,0.09300142526626587
0.0,0.08901464939117432
0.0,0.0849517434835434
0.0,0.08098682761192322
0.0,0.07684626430273056
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12462509423494339
0.0,0.12248018383979797
0.0,0.12019313126802444
0.0,0.11824622750282288
0.0,0.11633052676916122
0.0,0.11460857838392258
0.0,0.11302458494901657
0.0,0.1115637719631195
0.0,0.11035554111003876
0.0,0.10914283245801926
0.0,0.107395239174366
0.0,0.10662151873111725
0.0,0.10597901046276093
0.0,0.10542988032102585
0.0,0.10496940463781357
0.004526791628450155,0.10459572076797485
0.014730039983987808,0.10403484851121902
0.030275912955403328,0.10383042693138123
0.031334370374679565,0.10354723036289215
0.037659935653209686,0.10345105081796646
0.03857304900884628,0.10335688292980194
0.04817967116832733,0.10328049957752228
0.05328323692083359,0.10346808284521103
0.06266822665929794,0.10339981317520142
0.050709523260593414,0.10347411036491394
0.03832881897687912,0.10338356345891953
0.030473140999674797,0.10325591266155243
0.027074240148067474,0.1031181588768959
0.019349420443177223,0.1029655709862709
0.01607506535947323,0.10274577885866165
0.012827565893530846,0.10224238783121109
0.013964492827653885,0.1020076647400856
0.006347143556922674,0.10172975808382034
2.2924399672774598e-05,0.10141577571630478
0.0,0.10109487175941467
0.0,0.10075119882822037
0.0,0.10037019103765488
0.0,0.09989677369594574
0.0,0.0994478091597557
0.24316257238388062,0.09898614138364792
0.24158048629760742,0.20000000298023224
0.240006223320961,0.19964611530303955
0.238438680768013,0.19979046285152435
0.2412363886833191,0.19995157420635223
0.23962022364139557,0.20000000298023224
0.23801171779632568,0.1995905637741089
0.23641033470630646,0.19967184960842133
0.23481501638889313,0.1998022198677063
0.2332252711057663,0.19986701011657715
0.23164063692092896,0.1999882310628891
0.22570110857486725,0.20000000298023224
0.21546685695648193,0.19940555095672607
0.2053537666797638,0.19951555132865906
0.19535592198371887,0.1994096040725708
0.18110856413841248,0.19913192093372345
0.16702581942081451,0.19883987307548523
0.15309925377368927,0.19849629700183868
0.13932135701179504,0.1981092393398285
0.12132584303617477,0.19753240048885345
0.10352461785078049,0.19692599773406982
0.08154941350221634,0.19614358246326447
0.06416923552751541,0.19520044326782227
0.03823497146368027,0.1941870152950287
0.012577012181282043,0.19296018779277802
0.0,0.19159704446792603
0.0,0.19003431499004364
0.0,0.18831917643547058
0.0,0.18642203509807587
0.0,0.1843504011631012
0.0,0.1796792447566986
0.0,0.17699040472507477
0.0,0.17424723505973816
0.0,0.1712678223848343
0.0,0.16811183094978333
0.0,0.16147767007350922
0.0,0.15805980563163757
0.0,0.15452148020267487
0.0,0.15093208849430084
0.0,0.147211492061615
0.0,0.14334671199321747
0.0,0.13948680460453033
0.0,0.13557295501232147
0.0,0.1316249519586563
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.19950030744075775
0.0,0.1967453807592392
0.0,0.19415979087352753
0.0,0.19167377054691315
0.0,0.1893160492181778
0.0,0.18714015185832977
0.0,0.1851804256439209
0.0,0.18112893402576447
0.0,0.17926181852817535
0.0,0.1774708479642868
0.0,0.1757226586341858
0.0,0.1740426868200302
0.0,0.17240409553050995
0.0,0.17074759304523468
0.0,0.1691160500049591
0.0,0.16746675968170166
0.0,0.16589483618736267
0.0,0.16433820128440857
0.0,0.1628223955631256
0.0,0.16129735112190247
0.09990354627370834,0.15973997116088867
0.0964675024151802,0.20000000298023224
0.10171008110046387,0.20000000298023224
0.10679329186677933,0.20000000298023224
0.1073642298579216,0.20000000298023224
0.11220724880695343,0.20000000298023224
0.11254680156707764,0.20000000298023224
0.1171669065952301,0.20000000298023224
0.1172918826341629,0.20000000298023224
0.11734601855278015,0.20000000298023224
0.12169082462787628,0.20000000298023224
0.11719101667404175,0.20000000298023224
0.11269049346446991,0.20000000298023224
0.10382921248674393,0.20000000298023224
0.0993848368525505,0.20000000298023224
0.09493425488471985,0.20000000298023224
0.0861181765794754,0.20000000298023224
0.07735525071620941,0.20000000298023224
0.06864213943481445,0.20000000298023224
0.05561661347746849,0.20000000298023224
0.04269520938396454,0.20000000298023224
0.029871657490730286,0.20000000298023224
